Timestamp,"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Sun Jul 21 18:23:47 EDT 2019,Cat,Princess Purdy ,Purdy,11,DomesticLonghair
Sun Jul 21 18:23:56 EDT 2019,Cat,Squidward ,Squid,1,Domesticshorthair
Sun Jul 21 18:24:03 EDT 2019,Dog,Oscar the Amazing VelcroDog,Oscar,12,Terriermix
Sun Jul 21 18:24:04 EDT 2019,Dog,Poppy,Poppy,4,ShihTzu
Sun Jul 21 18:24:07 EDT 2019,Cat,daisy dukerson,Daisy,5,Unknown
Sun Jul 21 18:24:13 EDT 2019,Cat,Tigger,Tigger,17,Tabby
Sun Jul 21 18:24:22 EDT 2019,Cat,Bubbles,Bubby,6,Unknown
Sun Jul 21 18:24:27 EDT 2019,Cat,Prince Charlie ,Charlie,11,DomesticLonghair
Sun Jul 21 18:24:36 EDT 2019,Dog,Ellie Mae,Ellie,13,CockerSpaniel
Sun Jul 21 18:24:37 EDT 2019,Dog,Snowy,Snow,11,ShihTzu
Sun Jul 21 18:24:42 EDT 2019,Dog,Bruno,Bruno,4,BorderCollie
Sun Jul 21 18:24:50 EDT 2019,Cat,Twitch,Twitch,11,Domesticshorthair
Sun Jul 21 18:24:53 EDT 2019,Dog,Mona,Mona,12,Bluetickbeagle
Sun Jul 21 18:24:59 EDT 2019,Cat,harley davidson,har mar,9,Unknown
Sun Jul 21 18:25:06 EDT 2019,Cat,Ted Kennedy ,Teddy,1,Domesticshorthair
Sun Jul 21 18:25:15 EDT 2019,Dog,Yaz,Yazzy,11,GoldenRetrievermix
Sun Jul 21 18:25:23 EDT 2019,Dog,Princess Leia Organa,Prince,Deceased,Muttmix
Sun Jul 21 18:25:28 EDT 2019,Dog,Oakley ,"Oak, oakey-doke",3,ShihTzu
Sun Jul 21 18:25:37 EDT 2019,Dog,Tinkerbell ,Tinky,4,Chihuahua
Sun Jul 21 18:25:38 EDT 2019,Cat,Bella,Bella,4,MaineCoonmix
Sun Jul 21 18:25:39 EDT 2019,Cat,Fup ,Fup,10,N/A
Sun Jul 21 18:25:48 EDT 2019,Dog,Beckett,Beckett or Becky,9,GoldenRetriever
Sun Jul 21 18:25:54 EDT 2019,Cat,Fudge,Fubdge,3,Ginger
Sun Jul 21 18:25:56 EDT 2019,Cat,Lady Luck,Lucky,11,Domesticshorthair
Sun Jul 21 18:26:02 EDT 2019,Cat,Moose,Moose,4,MaineCoonmix
Sun Jul 21 18:26:17 EDT 2019,Dog,Logan,Logan,10,BlackLabMix
Sun Jul 21 18:26:19 EDT 2019,Dog,Daisy Grace,Daisy,8,Mixed Breeds
Sun Jul 21 18:26:24 EDT 2019,Cat,Leela,The Cat,10,Domesticshorthair
Sun Jul 21 18:26:42 EDT 2019,Cat,Ellie,Ellie-phant,9,Calico
Sun Jul 21 18:26:44 EDT 2019,Cat,Her Royal Highness the Princess Blaze,Blaze,9,Domesticshorthair
Sun Jul 21 18:27:03 EDT 2019,Cat,Phillipe Robert Jean Luc Tugboat “Toot! Toot!”,Phillip,4,Manxcat
Sun Jul 21 18:27:12 EDT 2019,Cat,Alexander DapperCat,Alex,9,Domesticshorthair
Sun Jul 21 18:27:20 EDT 2019,Dog,Lila Betterhalf ,Lila,13,Greyhound
Sun Jul 21 18:27:23 EDT 2019,Cat,Darling,Baby Girl,14,Manxcat
Sun Jul 21 18:27:24 EDT 2019,Cat,Smokey,Mr Moke,12,BritishShorthair
Sun Jul 21 18:27:40 EDT 2019,Cat,Jezebel ,Jez,14,Himalayan
Sun Jul 21 18:27:44 EDT 2019,Dog,Tula Jean,Tula,1,Unknown
Sun Jul 21 18:27:48 EDT 2019,Cat,Edison D. Cat,Eddie,9,Domesticshorthair
Sun Jul 21 18:27:50 EDT 2019,Cat,Redford,Rasa,12,Unknown
Sun Jul 21 18:27:55 EDT 2019,Dog,Odin,Odin,1,Mixed Breeds
Sun Jul 21 18:27:57 EDT 2019,Dog,Annie Piker,Annie,8,Greyhound
Sun Jul 21 18:28:00 EDT 2019,Dog,Rusty,Rusty,4,GoldenRetriever
Sun Jul 21 18:28:05 EDT 2019,Cat,Thomas ,“Tom” “Old Man”,18,Domesticshorthair
Sun Jul 21 18:28:15 EDT 2019,Cat,Fleckchen,Monster,7,EuropeanShorthair
Sun Jul 21 18:28:19 EDT 2019,Dog,Stella Luna,Stella,4,Labradormix
Sun Jul 21 18:28:23 EDT 2019,Cat,Fay Fuller,Fay,0.269230769,Unknown
Sun Jul 21 18:28:26 EDT 2019,Dog,Pancho Villa,Pacho,12,Pug
Sun Jul 21 18:28:34 EDT 2019,Dog,Waldo,Waldo,9,Cockapoo
Sun Jul 21 18:28:41 EDT 2019,Others,,,,Unknown
Sun Jul 21 18:28:44 EDT 2019,Cat,Luna,Kuschelmaus,8,EuropeanShorthair
Sun Jul 21 18:28:48 EDT 2019,Dog,Yadier,Yadi,4,GoldenRetriever
Sun Jul 21 18:29:05 EDT 2019,Others,DJ Roomba ,DJ Roomba ,,Unknown
Sun Jul 21 18:29:09 EDT 2019,Dog,Ruby Gem,Ruby,4,Terriermix
Sun Jul 21 18:29:10 EDT 2019,Dog,BuddyGus,Buddy or Boo,1.666666667,GoldenRetriever
Sun Jul 21 18:29:12 EDT 2019,Dog,Homer ,Homie,5,SpringerSpaniel
Sun Jul 21 18:29:15 EDT 2019,Dog,Pippie,Pippie or Pippo,2,Pitbull
Sun Jul 21 18:29:18 EDT 2019,Dog,Parker,,6,Beagle
Sun Jul 21 18:29:19 EDT 2019,Dog,Chipper Doodle,Chip,12,ChocolateLabrador
Sun Jul 21 18:29:20 EDT 2019,Dog,Jack,Jack,7,LabradorRetriever
Sun Jul 21 18:29:26 EDT 2019,Dog,"Xena, Warrior Pinscher ",Xena,14,MiniaturePinscher
Sun Jul 21 18:29:35 EDT 2019,Dog,Gabby,Gabby,2,GoldenRetriever
Sun Jul 21 18:29:44 EDT 2019,Dog,Rosebud,Rosie,10,Beagle
Sun Jul 21 18:29:56 EDT 2019,Dog,Cooper,Coopee ,10,Yorkie Mix
Sun Jul 21 18:30:00 EDT 2019,Dog,Shakota,Shakota,12,SiberianHusky
Sun Jul 21 18:30:09 EDT 2019,Dog,Wilbur,Wilby,7,FrenchBulldog
Sun Jul 21 18:30:10 EDT 2019,Dog,Finn T. Dog,Finn,0.416666667,Weimaraner
Sun Jul 21 18:30:11 EDT 2019,Cat,Wilma ,Wilma Jean the Queen ,2,Orangetabby(DSH)
Sun Jul 21 18:30:30 EDT 2019,Dog,Baylee,"Baylee Boo, Taps",2,Unknown
Sun Jul 21 18:30:32 EDT 2019,Dog,Sprocket,"Bark, sprock, spark",15,Muttmix
Sun Jul 21 18:30:56 EDT 2019,Cat,Peppercorn Ale,Pepper,14,Unknown
Sun Jul 21 18:31:01 EDT 2019,Cat,Stanley,Stan the handsome man ,1,Orangetabby(DSH)
Sun Jul 21 18:31:53 EDT 2019,Bird,Ahanu ,Ahanu ,13,Caique
Sun Jul 21 18:31:54 EDT 2019,Dog,Sophie,Sophie,13,Maltesemix
Sun Jul 21 18:32:00 EDT 2019,Dog,Sasha,Chunk ,1,Labradormix
Sun Jul 21 18:32:27 EDT 2019,Bird,Perkins the Parakeer,Perkins,3,Parakeet
Sun Jul 21 18:32:57 EDT 2019,Dog,Kookie (pronounced cookie) Pants,Noodle,15,JackRussellTerrier
Sun Jul 21 18:33:30 EDT 2019,Dog,Miss Maisy Cakes,Maisy,1,RescueMutt
Sun Jul 21 18:33:38 EDT 2019,Dog,Han Solo,Solo,3,EnglishCockerSpaniel
Sun Jul 21 18:33:57 EDT 2019,Dog,Lillith Anne,Lily,6,AlaskanHusky
Sun Jul 21 18:34:02 EDT 2019,Dog,Michelangelo,Mikey,11,EnglishCockerSpaniel
Sun Jul 21 18:34:09 EDT 2019,Dog,Freddie Beagle ,Fred or Freddie ,11,Beagle
Sun Jul 21 18:34:18 EDT 2019,Dog,Pieper,Pooper,4,Unknown
Sun Jul 21 18:34:31 EDT 2019,Fish,Toilet Mimosa Gillan ,Togimi ,0.5,BettaFish
Sun Jul 21 18:34:39 EDT 2019,Dog,Jacob,Jake,6,AlaskanHusky
Sun Jul 21 18:34:41 EDT 2019,Lizard,Drazil Marie,Drazil ,4,BeardedDragonLizard
Sun Jul 21 18:35:02 EDT 2019,Dog,Titus Augustus,Tidy,9,AmericanFoxhound
Sun Jul 21 18:35:05 EDT 2019,Dog,,Cirrus,2,Poodle
Sun Jul 21 18:35:15 EDT 2019,Dog,Shelby,Shelby,14,LabradorRetriever
Sun Jul 21 18:35:30 EDT 2019,Dog,,Nimbus,0.5,Poodle
Sun Jul 21 18:35:30 EDT 2019,Dog,Finn,Finn,1,CavalierKingCharlesSpaniel
Sun Jul 21 18:35:31 EDT 2019,Cat,Kitten Kitten Kittycat,Kitty,14,AmericanLonghair
Sun Jul 21 18:35:37 EDT 2019,Dog,Tessie Joan (of Arc),Tessie ,7,AmericanFoxhound
Sun Jul 21 18:35:37 EDT 2019,Dog,Ginger,Ginger,12,GoldenRetriever
Sun Jul 21 18:35:47 EDT 2019,Dog,Sadie,Sadie,6,GoldenRetriever
Sun Jul 21 18:35:53 EDT 2019,Dog,Flicka,Flicky,12,LabradorRetriever
Sun Jul 21 18:35:57 EDT 2019,Dog,Koda Kingslayer,Koda,2,GoldenRetriever
Sun Jul 21 18:35:57 EDT 2019,Dog,Flicka,Flicky,12,LabradorRetriever
Sun Jul 21 18:36:12 EDT 2019,Dog,Maggie,Ms America ,7,GoldenRetriever
Sun Jul 21 18:36:15 EDT 2019,Dog,Henry (after Dorian Grey),Henry,1,Brittany
Sun Jul 21 18:36:26 EDT 2019,Dog,Megan,Puppy,10,Muttmix
Sun Jul 21 18:36:27 EDT 2019,Cat,Dante’s InFURno,Dante,7,MaineCoon
Sun Jul 21 18:36:39 EDT 2019,Cat,Gatsby,Gatsby,0,"Stray,black"
Sun Jul 21 18:36:41 EDT 2019,Cat,Tyrone,Tyrone,0.5,Unknown
Sun Jul 21 18:36:48 EDT 2019,Dog,Hopper T. Dog,Hops,6,GoldenRetriever
Sun Jul 21 18:36:55 EDT 2019,Dog,Snickers,Snickers,10,Beaglemix
Sun Jul 21 18:36:57 EDT 2019,Cat,Tommy toe,Tommy,3,Unknown
Sun Jul 21 18:37:04 EDT 2019,Cat,Wheels,Wheels,16,Unknown
Sun Jul 21 18:37:06 EDT 2019,Dog,Venkman,Venk,5,GoldenRetriever
Sun Jul 21 18:37:07 EDT 2019,Cat,Maisie ,Maisie,0,"Stray,black"
Sun Jul 21 18:37:21 EDT 2019,Dog,Murphy,Murph,0.041666667,CockerSpaniel
Sun Jul 21 18:37:24 EDT 2019,Dog,Maggie,Schmieg,12,GoldenRetriever
Sun Jul 21 18:37:27 EDT 2019,Cat,Lin Meow Miranda,Lin,3,Americanshorthair
Sun Jul 21 18:37:38 EDT 2019,Dog,Jasmine,Jasmine,13,GoldenRetriever
Sun Jul 21 18:37:52 EDT 2019,Dog,Hurley Pearly Sky-Sky,Hurley,7,ShihTzu
Sun Jul 21 18:37:53 EDT 2019,Dog,Queso,Queso,14,GoldenRetriever
Sun Jul 21 18:38:00 EDT 2019,Dog,Breezy Anne,Breezy,5,GermanShepherd
Sun Jul 21 18:38:08 EDT 2019,Dog,Riley,Riley,7,GoldenRetriever
Sun Jul 21 18:38:18 EDT 2019,Fish,Fishy Fishy Fishy III,Fishy,0.75,BettaFish
Sun Jul 21 18:38:23 EDT 2019,Dog,Homer J,Homer,10,BasenjiMix
Sun Jul 21 18:38:28 EDT 2019,Dog,Tucker,Tucker,7,GoldenRetriever
Sun Jul 21 18:38:57 EDT 2019,Cat,Kitty Vegas,Vegas,6,DomesticLonghair
Sun Jul 21 18:39:09 EDT 2019,Dog,Abby,Abby,3,Pitbull
Sun Jul 21 18:39:15 EDT 2019,Dog,Cooper Triple Bogey,Coop,0.173076923,GoldenRetriever
Sun Jul 21 18:39:16 EDT 2019,Dog,Shelby,Shelby,1,BlueTickCoonHoundMix
Sun Jul 21 18:39:18 EDT 2019,Cat,Dr Gaius Baltar,Gusgus,10,Russian Blue
Sun Jul 21 18:39:27 EDT 2019,Dog,Oakley Dalton,Oaks,6,Unknown
Sun Jul 21 18:39:29 EDT 2019,Dog,Lucy Lou ,Goose,9,GoldenRetriever
Sun Jul 21 18:39:32 EDT 2019,Others,April,April,14,Unknown
Sun Jul 21 18:39:33 EDT 2019,Cat,Vasquez ,Vasquez ,7,DomesticShorthair-tortoise
Sun Jul 21 18:39:34 EDT 2019,Dog,Niles Crane,Niles,4,BorderCollie
Sun Jul 21 18:39:39 EDT 2019,Dog,Little Lucky One,Lucky,13,Chihuahua
Sun Jul 21 18:39:40 EDT 2019,Dog,Benjamin Sebastian,Benjamin,7,Colliebassethoundmix.
Sun Jul 21 18:39:46 EDT 2019,Dog,Siris Maximus,Sirius,5,AlaskanHusky
Sun Jul 21 18:40:00 EDT 2019,Dog,Blaze,Blaze,5,LabradorRetriever
Sun Jul 21 18:40:07 EDT 2019,Dog,Brody ,Brody,11,Yorkie Mix
Sun Jul 21 18:40:17 EDT 2019,Cat,Ripley,Chubby Chubs,4,Domesticshorthair
Sun Jul 21 18:40:25 EDT 2019,Dog,Director of Chaos,D.O.C.,4,Boxer
Sun Jul 21 18:40:36 EDT 2019,Cat,Josh Joshua Joshylin,Josh,6,Tuxedo cat
Sun Jul 21 18:40:40 EDT 2019,Cat,Lisa,Lisa,12,Unknown
Sun Jul 21 18:40:55 EDT 2019,Dog,Cody,Codes,11,GoldenRetriever
Sun Jul 21 18:40:57 EDT 2019,Cat,Nepeta ,Nepeta,2,Shorthair
Sun Jul 21 18:41:12 EDT 2019,Dog,Emma,Rotta,6,Mittelspitz
Sun Jul 21 18:41:13 EDT 2019,Cat,Leeloo Dallas Multipass,Leeloo,9,LaPerm
Sun Jul 21 18:41:16 EDT 2019,Dog,Isabella Grace,Bella,7,Maltese
Sun Jul 21 18:41:19 EDT 2019,Dog,Cookie Boogie,Boogie,3,Unknown
Sun Jul 21 18:41:21 EDT 2019,Cat,Cataria,Tarie,2,Unknown
Sun Jul 21 18:41:23 EDT 2019,Dog,Salina,Salina,2,Houndmix
Sun Jul 21 18:41:34 EDT 2019,Dog,Theodore James,Theo,5,Maltese
Sun Jul 21 18:41:41 EDT 2019,Dog,Ofelia,Ofie Lofie,15,NorwichTerrier
Sun Jul 21 18:41:43 EDT 2019,Dog,Hermie,Hermie,3.5,ChocolateLabmix
Sun Jul 21 18:42:02 EDT 2019,Lizard,Turtle,Turtle,5,LeopardGecko
Sun Jul 21 18:42:14 EDT 2019,Dog,Jackson Baines Hardin,Jackson,14,Shepherdmix
Sun Jul 21 18:42:21 EDT 2019,Cat,Tali'zorah vas Normandy,Tali,9,LaPerm
Sun Jul 21 18:42:24 EDT 2019,Dog,Rudy,Rudy,12,BlackLabMix
Sun Jul 21 18:42:37 EDT 2019,Rodent,Teddy,Teddy,3,GuineaPig
Sun Jul 21 18:42:40 EDT 2019,Dog,Chuchi,Baby Chu,9,ToyPoodle
Sun Jul 21 18:42:50 EDT 2019,Dog,Belle Silver,Bobo,3,Brittany
Sun Jul 21 18:42:50 EDT 2019,Fish,Fish,Swish,7,GoldFish
Sun Jul 21 18:42:59 EDT 2019,Dog,Phoebe Buffay,Phoeb,4.5,StaffordshireTerrier
Sun Jul 21 18:43:03 EDT 2019,Dog,Precious Presley ,Presley ,1,Labradormix
Sun Jul 21 18:43:19 EDT 2019,Cat,Boots,Fuckoff,10,Blackcatwithwhitefeet
Sun Jul 21 18:43:19 EDT 2019,Dog,Sarah Jessica Parker,Parker,8,Beagle
Sun Jul 21 18:43:49 EDT 2019,Dog,Princess Leah ,Leah,8,Miniatureschnauzer
Sun Jul 21 18:43:52 EDT 2019,Cat,Zeus,Zeus,2,Unknown
Sun Jul 21 18:44:10 EDT 2019,Dog,Mr Duke of Carol Stream,Booboo,10,LabradorRetriever
Sun Jul 21 18:44:27 EDT 2019,Dog,Bruno Mars ,Bruno,4,ShihTzu
Sun Jul 21 18:44:35 EDT 2019,Cat,Persephone,Persey,2,Unknown
Sun Jul 21 18:44:35 EDT 2019,Dog,Reggie,Reg,8,BorderCollie
Sun Jul 21 18:44:47 EDT 2019,Cat,Momo,Momo,9,Domesticshorthair
Sun Jul 21 18:44:48 EDT 2019,Dog,Twixie,Gooben,2,Messbreed
Sun Jul 21 18:44:50 EDT 2019,Dog,Kody,Kode,10,GoldenRetriever
Sun Jul 21 18:44:57 EDT 2019,Dog,Maverick Clinton ,Maverick,10,LabradorRetriever
Sun Jul 21 18:45:02 EDT 2019,Cat,Abbey Road,Abbey,3,Long-hairdomestic
Sun Jul 21 18:45:15 EDT 2019,Cat,Naga,Naga,6,Domesticshorthair
Sun Jul 21 18:45:15 EDT 2019,Dog,Sven,Bean,5,GermanShepherd
Sun Jul 21 18:45:21 EDT 2019,Dog,Lola,Lola,11,Poodlemix
Sun Jul 21 18:45:30 EDT 2019,Dog,Sophie,Sophie,2,Rottweiler
Sun Jul 21 18:45:31 EDT 2019,Cat,Stinky Pete,Pete and/or Stinky,18,Justaregularcat
Sun Jul 21 18:45:38 EDT 2019,Cat,Gozer,Gozey,12,Blackcat
Sun Jul 21 18:45:39 EDT 2019,Dog,Lily Potter,Lil,2,GermanShepherd
Sun Jul 21 18:45:51 EDT 2019,Dog,Dougie McFly,Dougie,11,CairnTerrier
Sun Jul 21 18:45:56 EDT 2019,Dog,RileyRoo,Riley,2,Muttmix
Sun Jul 21 18:46:04 EDT 2019,Dog,Dobby,Boober ,4,PembrokeWelshCorgi
Sun Jul 21 18:46:11 EDT 2019,Cat,Sir Edward Julius Robert Kittybutt III,Eddie,16,Tigercat
Sun Jul 21 18:46:37 EDT 2019,Fish,Chu-chu,Chu-chu,11,GoldFish
Sun Jul 21 18:47:06 EDT 2019,Dog,Lando,Lando,5,BerneseMountainDog
Sun Jul 21 18:47:16 EDT 2019,Dog,Tucker Paul,Tuck,6,Pitbull
Sun Jul 21 18:47:56 EDT 2019,Dog,Schnitzel Von Krumm,Ninnel,11,MiniatureDachshund
Sun Jul 21 18:48:09 EDT 2019,Dog,Wrigley,Wriglry pigley,13,Beagle
Sun Jul 21 18:48:39 EDT 2019,Dog,Wally,Wal,0.333333333,GoldenRetriever
Sun Jul 21 18:48:55 EDT 2019,Dog,Snickers,Doodle,11,Beagle
Sun Jul 21 18:49:14 EDT 2019,Dog,Charlie,Charlie,9,Cockapoo
Sun Jul 21 18:49:15 EDT 2019,Dog,Pepper,Pep,0.791666667,CockerSpaniel
Sun Jul 21 18:49:16 EDT 2019,Dog,Brownie,Brownie ,13,Beagle
Sun Jul 21 18:49:31 EDT 2019,Cat,Maow,Kitkat,14,Unknown
Sun Jul 21 18:49:35 EDT 2019,Dog,Echo,Beck,3,Corgimix
Sun Jul 21 18:49:52 EDT 2019,Dog,Banky,Banky,10,BassetHound
Sun Jul 21 18:49:55 EDT 2019,Dog,Koda,Koda,6,Chihuahua
Sun Jul 21 18:50:09 EDT 2019,Dog,Clifford,Cliff,6,LabradorRetriever
Sun Jul 21 18:50:11 EDT 2019,Dog,Coco,Coco Bear,7,Morkiemix
Sun Jul 21 18:50:15 EDT 2019,Dog,Charlie,Charlie,8,Pitbull
Sun Jul 21 18:50:20 EDT 2019,Dog,Mojo,Moj,5,Chiweenie
Sun Jul 21 18:50:27 EDT 2019,Horse,Wizarding Wonder,Wizwo,12,ShirexTB
Sun Jul 21 18:50:40 EDT 2019,Dog,Hank,Hank,2,Boxermix
Sun Jul 21 18:51:00 EDT 2019,Horse,Thunderhawk,Thunder,21,Spanishmustang
Sun Jul 21 18:51:11 EDT 2019,Dog,Sebastian,Fritz,15,Italiangreyhoundmix
Sun Jul 21 18:51:22 EDT 2019,Horse,Cielo,Piglet ,4,Unknown
Sun Jul 21 18:51:37 EDT 2019,Cat,Bebop Vincent,Beebs,5,Domesticshorthair
Sun Jul 21 18:51:49 EDT 2019,Horse,Thalia,Thalia,4,Unknown
Sun Jul 21 18:52:08 EDT 2019,Horse,Morganna la Fey,Morganna,15,Unknown
Sun Jul 21 18:52:12 EDT 2019,Cat,Maja,Maja,14,Grey
Sun Jul 21 18:52:13 EDT 2019,Dog,Hank,Hanky,2,Yellowlab
Sun Jul 21 18:52:28 EDT 2019,Dog,Ella,Ells Bells,14.5,CockerSpaniel
Sun Jul 21 18:52:30 EDT 2019,Dog,Frappuccino,Frappie,7,Labradoodle
Sun Jul 21 18:52:35 EDT 2019,Horse,Texas Pony Smoke,Monster,2,Unknown
Sun Jul 21 18:52:40 EDT 2019,Dog,Gracie,Grace,12,ShihTzu
Sun Jul 21 18:52:53 EDT 2019,Horse,Khan,Khan,3,Spanishmustang
Sun Jul 21 18:52:57 EDT 2019,Dog,Phoebe,Phoebe,2,Goldendoodle
Sun Jul 21 18:53:03 EDT 2019,Dog,Uma Strawn McGuire,Uma,4,GoldenRetrievermix
Sun Jul 21 18:53:06 EDT 2019,Dog,Buster,Boop squared,13,Terrierist
Sun Jul 21 18:53:11 EDT 2019,Horse,Reno,Reno,,Unknown
Sun Jul 21 18:53:19 EDT 2019,Cat,Sketchy Missouri,Sketchy,12,Tortoiseshell
Sun Jul 21 18:53:21 EDT 2019,Dog,Eva Marie,Eva,3,Chihuahua
Sun Jul 21 18:53:26 EDT 2019,Horse,Boogieman,Boogie,5,Unknown
Sun Jul 21 18:53:30 EDT 2019,Dog,Mia Hamm,Mia,11,GoldenRetriever
Sun Jul 21 18:53:33 EDT 2019,Cat,Charlie,Charile,18,Tabby
Sun Jul 21 18:53:38 EDT 2019,Dog,alia atreides,Allie,5,Muttmix
Sun Jul 21 18:53:51 EDT 2019,Horse,Legacy,Legacy,15,Unknown
Sun Jul 21 18:54:20 EDT 2019,Horse,Mambo no. 5,Mambo,2,Spanishmustang
Sun Jul 21 18:54:31 EDT 2019,Cat,Zoey,Zoe,4,Unknown
Sun Jul 21 18:54:32 EDT 2019,Dog,lexie,lex,0.833333333,GoldenRetriever
Sun Jul 21 18:54:37 EDT 2019,Horse,Mato Ma’hu’i,Mato,2,Unknown
Sun Jul 21 18:54:43 EDT 2019,Dog,Bernard,Bernard ,5,Boxer
Sun Jul 21 18:55:05 EDT 2019,Horse,Starflower’s Jezebel,Jezebel,4,Spanishmustang
Sun Jul 21 18:55:09 EDT 2019,Cat,Jenna Nicole Rhea Lopez Horn,Jenna Jenna,8,Unknown
Sun Jul 21 18:55:09 EDT 2019,Dog,Myles - his roman name is Squirtacus Mylonius,Myles,10,Cockapoo
Sun Jul 21 18:55:22 EDT 2019,Horse,Diamond Lily,Lily,7,Unknown
Sun Jul 21 18:55:28 EDT 2019,Dog,Millie,Millie,9.5,Shepherdmix
Sun Jul 21 18:55:37 EDT 2019,Horse,Gypsy Rose Lee,Gypsy,6,Unknown
Sun Jul 21 18:55:39 EDT 2019,Fish,Butters,Butters,0.019230769,GoldFish
Sun Jul 21 18:55:42 EDT 2019,Dog,Bodhi,Bo,6,GoldenRetriever
Sun Jul 21 18:55:55 EDT 2019,Dog,Mooch,Mooch,9,Terriermix
Sun Jul 21 18:55:55 EDT 2019,Dog,Piper,Pipes,4,Woodle(wheatonterrier/poodle)
Sun Jul 21 18:56:06 EDT 2019,Cat,Ramona,Ramona,12,Unknown
Sun Jul 21 18:56:07 EDT 2019,Dog,Charles,Charlie,10,Corgi
Sun Jul 21 18:56:16 EDT 2019,Horse,Morning Glory,Glory,,Unknown
Sun Jul 21 18:56:18 EDT 2019,Dog,Willow,Willow,3,Sheepadoodle
Sun Jul 21 18:56:28 EDT 2019,Horse,Morning Mist,misty ,,Unknown
Sun Jul 21 18:56:28 EDT 2019,Dog,Glamis Schedule K1,Kona,5,GoldenRetriever
Sun Jul 21 18:56:50 EDT 2019,Dog,Bandit Raye,Bandi,12,Farmdog
Sun Jul 21 18:56:51 EDT 2019,Horse,Syndicated Copper,Copper,,Unknown
Sun Jul 21 18:57:02 EDT 2019,Cat,Cleo,Cleo,13,DSH
Sun Jul 21 18:57:06 EDT 2019,Cat,Sebastian Ninja Nutjob,Sebastian,11,Domesticshorthair
Sun Jul 21 18:57:27 EDT 2019,Dog,Anderson,Andy,12,Labradormix
Sun Jul 21 18:58:08 EDT 2019,Dog,Mars Harambe,Pickle,3,Catahoulamix
Sun Jul 21 18:58:08 EDT 2019,Others,"Butler, You Glorious Vacuuming Bastard",Butler ,1,iRobot
Sun Jul 21 18:58:15 EDT 2019,Dog,Claudio Atlas Wolfric,Claudio ,8,Dachshund
Sun Jul 21 18:58:32 EDT 2019,Rabbit,Flufy,Flufy,10,Lionhead
Sun Jul 21 18:58:42 EDT 2019,Dog,Lawson H Dog,Hogan,16,Briard
Sun Jul 21 18:58:49 EDT 2019,Cat,Smudge the Second,Deuce,4,Himalayan
Sun Jul 21 19:00:08 EDT 2019,Dog,Tucker,"Tucker, dude, bud ",1,Bulldog
Sun Jul 21 19:00:39 EDT 2019,Cat,Echo,Echo,18,Unknown
Sun Jul 21 19:00:49 EDT 2019,Dog,Ames,Ames,5,Husky
Sun Jul 21 19:01:02 EDT 2019,Dog,Franc,Franc,0.333333333,Mastiffcross
Sun Jul 21 19:01:09 EDT 2019,Cat,Winnie,Winnie,0.333333333,Unknown
Sun Jul 21 19:01:31 EDT 2019,Cat,Tiggy,,0.333333333,Unknown
Sun Jul 21 19:02:05 EDT 2019,Dog,Oliver Jackson ,Oliver/Baby/Little Man,5.5,Morkie
Sun Jul 21 19:02:07 EDT 2019,Dog,Dolly Doodle Dogger,Dolly,6,Labradoodle
Sun Jul 21 19:02:14 EDT 2019,Cat,Ann Perkins ,Ann ,0.5,Mixed
Sun Jul 21 19:02:32 EDT 2019,Dog,Cassie,Cassie,5,Mixed Breeds
Sun Jul 21 19:02:36 EDT 2019,Cat,Kisa Marie,Kisa,6,Unknown
Sun Jul 21 19:02:45 EDT 2019,Dog,Logan,Logan brogran,2,RhodesianRidgeback
Sun Jul 21 19:02:45 EDT 2019,Dog,Basil,Basil,7,GermanShepherdmix
Sun Jul 21 19:02:52 EDT 2019,Dog,Marble,Marble,5,Plotthoundmix
Sun Jul 21 19:03:05 EDT 2019,Dog,Hollie,Hollie,14,Westie
Sun Jul 21 19:03:15 EDT 2019,Dog,Cash Money,Cashie,2,LabradorRetriever
Sun Jul 21 19:03:29 EDT 2019,Dog,Seamus,Shamie Bameee,11,RhodesianRidgeback
Sun Jul 21 19:03:39 EDT 2019,Cat,William Robert,Billy,3,Unknown
Sun Jul 21 19:03:50 EDT 2019,Dog,Nash,Nash,2,LabradorRetriever
Sun Jul 21 19:03:52 EDT 2019,Cat,Spoons,Spoons,3,Calico
Sun Jul 21 19:03:58 EDT 2019,Cat,Arizona,Arizona,7,Domesticshorthair/orangetabby
Sun Jul 21 19:04:11 EDT 2019,Dog,Sian Ben Ryan,Sian or Sisi,14,Westie
Sun Jul 21 19:04:21 EDT 2019,Dog,Bear 2,Bear,7.5,RetrieverMix
Sun Jul 21 19:04:22 EDT 2019,Cat,Banjo,Banj,3,DSH
Sun Jul 21 19:04:37 EDT 2019,Rodent,Fossedini Heraldo Macduff,Fosse,10,Chinchilla
Sun Jul 21 19:04:43 EDT 2019,Cat,Princess Melanie,Melanie,5,DomesticLonghair
Sun Jul 21 19:04:54 EDT 2019,Cat,Tiffany Marie,Tiffany,13,DSH
Sun Jul 21 19:05:00 EDT 2019,Dog,Charles Barrath McIntyre,Barry,6,BassetHound
Sun Jul 21 19:05:33 EDT 2019,Dog,Margeurite Larioux Gonzales,Maggie,6,Chihuahuamix
